	f1	em	dataset	split	ff_dim	k
0	53.1	32.3	narrativeqa	dev	65536	65536
1	90.1	87.4	race_string	dev	65536	65536
2	90.7	90.7	boolq	dev	65536	65536
3	89.8	86.3	squad2	dev	65536	65536
4	93.3	87.0	squad1_1	dev	65536	65536
5	94.9	93.1	mctest_corrected_the_separator	dev	65536	65536
6	88.6	82.4	ai2_science_middle	dev	65536	65536
7	93.5	91.9	ai2_science_elementary	dev	65536	65536
8	82.4	75.6	arc_hard	dev	65536	65536
9	88.5	86.0	arc_easy	dev	65536	65536
10	87.8	85.2	openbookqa	dev	65536	65536
11	77.8	77.5	commonsenseqa	dev	65536	65536
12	53.1	32.3	narrativeqa	dev	65536	4096
13	90.1	87.4	race_string	dev	65536	4096
14	90.8	90.8	boolq	dev	65536	4096
15	89.8	86.3	squad2	dev	65536	4096
16	93.3	87.0	squad1_1	dev	65536	4096
17	94.9	93.1	mctest_corrected_the_separator	dev	65536	4096
18	88.6	82.4	ai2_science_middle	dev	65536	4096
19	93.5	91.9	ai2_science_elementary	dev	65536	4096
20	82.4	75.6	arc_hard	dev	65536	4096
21	88.5	86.0	arc_easy	dev	65536	4096
22	87.8	85.2	openbookqa	dev	65536	4096
23	77.9	77.6	commonsenseqa	dev	65536	4096
24	53.1	32.3	narrativeqa	dev	65536	2048
25	90.1	87.3	race_string	dev	65536	2048
26	90.8	90.8	boolq	dev	65536	2048
27	89.8	86.3	squad2	dev	65536	2048
28	93.3	87.0	squad1_1	dev	65536	2048
29	94.9	93.1	mctest_corrected_the_separator	dev	65536	2048
30	88.6	82.4	ai2_science_middle	dev	65536	2048
31	93.5	91.9	ai2_science_elementary	dev	65536	2048
32	82.7	75.9	arc_hard	dev	65536	2048
33	88.4	85.8	arc_easy	dev	65536	2048
34	87.7	85.0	openbookqa	dev	65536	2048
35	77.6	77.2	commonsenseqa	dev	65536	2048
36	53.1	32.3	narrativeqa	dev	65536	1024
37	90.1	87.3	race_string	dev	65536	1024
38	90.7	90.7	boolq	dev	65536	1024
39	89.8	86.3	squad2	dev	65536	1024
40	93.3	87.0	squad1_1	dev	65536	1024
41	94.9	93.1	mctest_corrected_the_separator	dev	65536	1024
42	88.9	83.2	ai2_science_middle	dev	65536	1024
43	93.5	91.9	ai2_science_elementary	dev	65536	1024
44	82.9	76.3	arc_hard	dev	65536	1024
45	88.7	86.3	arc_easy	dev	65536	1024
46	87.7	85.0	openbookqa	dev	65536	1024
47	77.6	77.2	commonsenseqa	dev	65536	1024
48	53.1	32.3	narrativeqa	dev	65536	512
49	90.0	87.2	race_string	dev	65536	512
50	90.4	90.4	boolq	dev	65536	512
51	89.8	86.2	squad2	dev	65536	512
52	93.2	86.9	squad1_1	dev	65536	512
53	94.9	93.1	mctest_corrected_the_separator	dev	65536	512
54	88.9	84.0	ai2_science_middle	dev	65536	512
55	92.7	91.1	ai2_science_elementary	dev	65536	512
56	82.3	75.9	arc_hard	dev	65536	512
57	87.8	85.4	arc_easy	dev	65536	512
58	86.8	83.6	openbookqa	dev	65536	512
59	77.3	77.0	commonsenseqa	dev	65536	512
60	53.0	32.1	narrativeqa	dev	65536	256
61	89.6	86.8	race_string	dev	65536	256
62	90.0	90.0	boolq	dev	65536	256
63	89.3	85.7	squad2	dev	65536	256
64	93.3	86.8	squad1_1	dev	65536	256
65	94.8	92.8	mctest_corrected_the_separator	dev	65536	256
66	89.1	84.0	ai2_science_middle	dev	65536	256
67	92.3	91.1	ai2_science_elementary	dev	65536	256
68	82.7	75.6	arc_hard	dev	65536	256
69	87.7	85.3	arc_easy	dev	65536	256
70	88.2	85.4	openbookqa	dev	65536	256
71	76.3	75.9	commonsenseqa	dev	65536	256
72	52.3	31.6	narrativeqa	dev	65536	128
73	88.9	85.8	race_string	dev	65536	128
74	89.7	89.7	boolq	dev	65536	128
75	88.0	84.3	squad2	dev	65536	128
76	93.4	86.8	squad1_1	dev	65536	128
77	95.0	93.1	mctest_corrected_the_separator	dev	65536	128
78	86.9	81.6	ai2_science_middle	dev	65536	128
79	90.1	87.8	ai2_science_elementary	dev	65536	128
80	79.6	72.2	arc_hard	dev	65536	128
81	86.6	83.5	arc_easy	dev	65536	128
82	83.9	80.0	openbookqa	dev	65536	128
83	75.2	74.8	commonsenseqa	dev	65536	128
84	51.3	30.5	narrativeqa	dev	65536	64
85	87.0	83.5	race_string	dev	65536	64
86	89.1	88.7	boolq	dev	65536	64
87	85.9	82.0	squad2	dev	65536	64
88	93.2	86.1	squad1_1	dev	65536	64
89	94.8	92.8	mctest_corrected_the_separator	dev	65536	64
90	84.1	77.6	ai2_science_middle	dev	65536	64
91	86.4	82.9	ai2_science_elementary	dev	65536	64
92	79.7	71.6	arc_hard	dev	65536	64
93	83.6	79.3	arc_easy	dev	65536	64
94	81.4	77.4	openbookqa	dev	65536	64
95	72.8	72.4	commonsenseqa	dev	65536	64
